Unique ID,Location,Photo link,LINK,Part No,Description,STORE quantity,,
2026104,64,Picture,https://www.desertcart.in/products/814776594-small-hose-clamps-6-12mm-12pcs-hose-clamps-sae-4?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-ljOX7pkWpVrP4KM7qMBF8s-w4juQPWDwnpQ3msWRMdOX68RV3omFhoC2CoQAvD_BwE,,plumbing clamps,9,,
2026105,65,Picture,https://robocraze.com/products/100rpm-12v-dc-motor?variant=40193687224473&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=Pmax+%7C+Full+Built+%7C+Mechanical+%26+Electronic+Accessories&utm_source=googleads&utm_medium=ppc&utm_campaign=20544560129&utm_content=_&utm_term=&campaignid=20544560129&adgroupid=&campaign=20544560129&gad_source=1&gad_campaignid=20544562487&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-jkS2E_0w7RLjx3uU1_alsGEq9S6A1s-AJHXp6oJ7ry9oO8-zX5DABoC3esQAvD_BwE,,Dc motor small,15,,
2026106,65,,,,regular stepper motor big ,7,,
2026107,65,Picture,https://www.desertcart.in/products/352721989-stepperonline-nema-23-stepper-motor-2-4nm-339-79oz-in?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-vkmIeggKnK2RJ2tLQ-cmvTfoQIkcxI-Di7XixcWO3D4VGpzw1wyPxoCeUEQAvD_BwE,,NEMA 17 stepper motor,0,,
2026108,65,,,, dc motor chassis,25,,
2026109,65,,,RS37 ,Geared motor,1,,
2026110,65,Picture,https://www.desertcart.in/products/738854655-copper-wire-0-1mm-1-20mm-awg-32-14-magnet?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-v73IMIP6fRbNk35lcBY-d3Gxl9WEjkUSPP2uP3fXEG5AfpoyqWATBoCk70QAvD_BwE,,copper wire,1,,
2026111,65,Picture,https://www.tradeindia.com/products/alloy-steel-wire-9053935.html,,Alloy steel wire,1,,
2026112,65,,,,Iron coil/iron rods for inductor ,1,,
2026113,65,,,,Johnson dc 12v motor with encoder,2,,
2026114,65,,,GM3965,Planetory geared motor with ENCoder 12 v,2,,
2026115,65,Picture,https://robu.in/product/bo-series-1-dc-motor-all-rpm/,,BO Motor ,20,,
2026116,511,Picture,https://robu.in/product/mq-135-air-quality-gas-detector-sensor-module-for-arduino/,MQ135,Gas sensor,29,,
2026117,511,Picture,https://robu.in/product/mq-2-mq2-smoke-gas-lpg-butane-hydrogen-gas-sensor-detector-module/,MQ2,Gas sensor,47,,
2026118,511,Picture,https://robu.in/product-category/gas-sensor/,MQ gas sensor no name,Gas sensor,24,,
2026119,511,,,MQ7,Gas sensor,3,,
2026120,511,,,MQ4,Gas sensor,1,,
2026121,511,,,MQ9,Gas sensor,2,,
2026122,511,,,SGP30,Humidity & temp module,2,,
2026123,511,Picture,https://robu.in/product/co2-sensor-model-acd10/,,CO2 Gas sensor(ASAIR ACD10),1,,
2026124,511,,,,MEMS Gas sensor NO2,1,,
2026125,511,Picture,https://www.amazon.in/Robocraze-Detection-Monoxide-Breakout-5-5000ppm/dp/B0F99Q671D,CO,MEMS Gas sensor,1,,
2026126,512,Picture,https://robu.in/product/5v-4-channel-relay-module/,,4-Channel relay module,7,,
2026127,512,Picture,https://robu.in/product/2-channel-isolated-5v-10a-relay-module-opto-coupler-arduino-pic-avr-dsp-arm/?gad_source=1&gad_campaignid=21296336107&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nrMpStepZqONnv5mQVJvilgxWxQWz15aOKS9PBymMIzJbN8Vj-ADyhoCdLgQAvD_BwE,,2 channel  relay module,5,,
2026128,512,Picture,https://robu.in/product/1-channel-isolated-5v-relay-module-opto-coupler-for-arduino-pic-avr-dsp-arm/?gad_source=1&gad_campaignid=21296336107&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nluRBD2nVeZXnHHAhDpmWm4N4ix4xs9fnj8zdqjdtnfquBqRyG8gORoCquYQAvD_BwE,,1 channel relay module,16,,
2026129,512,Picture,https://robu.in/product/5v-8-channel-relay-module/?gad_source=1&gad_campaignid=17416544847&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nsa74iw6854YYiojuZrZw8OX6Zo2fAoypeu1kvndhCCplqppWdSA9BoCUKEQAvD_BwE,,8 channel relay module,1,,
2026130,513,Picture,https://www.amazon.in/Robocraze-L298-motor-driver-module/dp/B0D6Z221G1/ref=asc_df_B0D6Z221G1?mcid=865200bf29b73fc7b358271d1ba739cf&tag=googleshopdes-21&linkCode=df0&hvadid=709963085501&hvpos=&hvnetw=g&hvrand=9615735190928029383&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9222932&hvtargid=pla-2374941970260&psc=1&hvocijid=9615735190928029383-B0D6Z221G1-&hvexpln=0&gad_source=1,L298D,Motor Driver,28,,
